android.telecom.TelecomManager.placeCall(android.net.Uri,android.os.Bundle)void :: AnyOf ==>android.android.Manifest.permission.CALL_PHONE, android.android.Manifest.permission.MANAGE_OWN_CALLS
android.location.LocationManager.requestLocationUpdates(long,float,android.location.Criteria,android.app.PendingIntent)void :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
android.telecom.TelecomManager.isTtySupported()boolean :: AnyOf ==>android.android.Manifest.permission.READ_PRIVILEGED_PHONE_STATE, android.android.Manifest.permission.READ_PHONE_STATE
android.telephony.TelephonyManager.isRadioOn()boolean :: AnyOf ==>android.android.Manifest.permission.READ_PRIVILEGED_PHONE_STATE, android.android.Manifest.permission.READ_PHONE_STATE
android.telephony.TelephonyManager.getLine1Number(int)java.lang.String :: AnyOf ==>android.android.Manifest.permission.READ_PHONE_STATE, android.android.Manifest.permission.READ_SMS, android.android.Manifest.permission.READ_PHONE_NUMBERS
android.telephony.TelephonyManager.isVideoCallingEnabled()boolean :: AnyOf ==>android.android.Manifest.permission.READ_PRIVILEGED_PHONE_STATE, android.android.Manifest.permission.READ_PHONE_STATE
android.telephony.TelephonyManager.getCellLocation()android.telephony.CellLocation :: AnyOf ==>android.android.Manifest.permission.ACCESS_COARSE_LOCATION, android.android.Manifest.permission.ACCESS_FINE_LOCATION
android.telecom.TelecomManager.acceptRingingCall(int)void :: AnyOf ==>android.Manifest.permission.ANSWER_PHONE_CALLS, android.Manifest.permission.MODIFY_PHONE_STATE
android.location.LocationManager.requestLocationUpdates(java.lang.String,long,float,android.app.PendingIntent)void :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
android.location.LocationManager.requestSingleUpdate(java.lang.String,android.location.LocationListener,android.os.Looper)void :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
android.telecom.TelecomManager.isRinging()boolean :: AnyOf ==>android.android.Manifest.permission.READ_PRIVILEGED_PHONE_STATE, android.android.Manifest.permission.READ_PHONE_STATE
android.telephony.TelephonyManager.getLine1Number()java.lang.String :: AnyOf ==>android.android.Manifest.permission.READ_PHONE_STATE, android.android.Manifest.permission.READ_SMS, android.android.Manifest.permission.READ_PHONE_NUMBERS
android.telephony.TelephonyManager.isOffhook()boolean :: AnyOf ==>android.android.Manifest.permission.READ_PRIVILEGED_PHONE_STATE, android.android.Manifest.permission.READ_PHONE_STATE
android.telephony.TelephonyManager.isRinging()boolean :: AnyOf ==>android.android.Manifest.permission.READ_PRIVILEGED_PHONE_STATE, android.android.Manifest.permission.READ_PHONE_STATE
android.location.LocationManager.requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)void :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
android.location.LocationManager.requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)void :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
android.location.LocationManager.requestLocationUpdates(long,float,android.location.Criteria,android.location.LocationListener,android.os.Looper)void :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
android.telephony.TelephonyManager.isIdle()boolean :: AnyOf ==>android.android.Manifest.permission.READ_PRIVILEGED_PHONE_STATE, android.android.Manifest.permission.READ_PHONE_STATE
android.telecom.TelecomManager.getPhoneAccountsSupportingScheme(java.lang.String)java.util.List<android.telecom.PhoneAccountHandle> :: AnyOf ==>android.android.Manifest.permission.READ_PRIVILEGED_PHONE_STATE, android.android.Manifest.permission.READ_PHONE_STATE
android.location.LocationManager.requestSingleUpdate(android.location.Criteria,android.location.LocationListener,android.os.Looper)void :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
android.location.LocationManager.getLastKnownLocation(java.lang.String)android.location.Location :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
android.telecom.TelecomManager.acceptRingingCall()void :: AnyOf ==>android.Manifest.permission.ANSWER_PHONE_CALLS, android.Manifest.permission.MODIFY_PHONE_STATE
android.location.LocationManager.addProximityAlert(double,double,float,long,android.app.PendingIntent)void :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
android.location.LocationManager.requestSingleUpdate(java.lang.String,android.app.PendingIntent)void :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
android.location.LocationManager.requestSingleUpdate(android.location.Criteria,android.app.PendingIntent)void :: AnyOf ==>android.Manifest.permission.ACCESS_COARSE_LOCATION, android.Manifest.permission.ACCESS_FINE_LOCATION
